scenario,issue_s,window_s,V_F_kwh,V_T_kwh,tau_F_kwh,tau_T_kwh,error_kwh,classification
T1,400,480,25.007226999404338,-0.10292480094267376,0.01785407269140625,0.03619787263074653,25.110151800347012,ranking_reversal
T1,400,200,1.8356417164183085,-2.3768932610123557,0.008177802430885419,0.015420471662847225,4.212534977430664,ranking_reversal
T1,1200,480,33.380094711987454,-1.6876122593668015,0.019281011745416667,0.015362062216380212,35.067706971354255,ranking_reversal
T1,1200,200,1.0095391234457907,-1.335427635234737,0.008846728921892363,0.006506671391909724,2.3449667586805276,ranking_reversal
T2,400,480,34.51301940904045,-16.022522273685126,0.023545832038901912,0.03792706241777778,50.53554168272558,ranking_reversal
T2,400,200,2.299458254092656,-9.789637037573925,0.010637330603368057,0.015287764918333335,12.089095291666581,ranking_reversal
T2,1200,480,50.86169688224754,-0.26773310733551625,0.026751078460538195,0.024417816267239583,51.12942998958306,ranking_reversal
T2,1200,200,3.172670010719912,-0.5634489944884535,0.011604466423593751,0.011075296028645836,3.7361190052083657,ranking_reversal
