group,root,complete,observed_cells,mpc_net_kwh,lookup_net_kwh,noyaw_kwh,delta_noyaw_kwh,gain_noyaw_percent,delta_lookup_kwh,gain_lookup_percent
original_exact,OC-73090801,True,2,12549.138968298754,12517.718439173612,12400.691715217014,148.4472530817402,1.1970884890201656,31.42052912514191,0.25100843478642915
original_exact,OC-73090802,True,2,12501.719132577586,12403.044338694444,12338.924697217015,162.7944353605708,1.319356745870151,98.67479388314132,0.795569145675794
original_exact,OC-73090803,True,2,12419.996808727421,12338.058349743056,12316.751143896701,103.24566483071976,0.8382540462537551,81.93845898436484,0.6641114562898078
original_exact,OC-73090804,True,2,12669.740670377032,12599.30006846441,12526.150755195315,143.58991518171752,1.1463211483556712,70.44060191262179,0.5590834532858857
original_exact,OC-73090805,True,2,12209.32709737181,12023.554653289062,12056.482887858507,152.8442095133032,1.26773463650187,185.77244408274782,1.5450708999100318
original_exact,OC-73090806,True,2,12063.606938402041,11929.218714592882,11963.155680179687,100.45125822235423,0.8396719135635744,134.38822380915917,1.126546733901052
new_ideal,SC-74121201,True,2,12634.598115315803,12490.952312776064,12523.967461667537,110.63065364826616,0.8833514937409136,143.64580253973872,1.149998806678768
new_ideal,SC-74121202,True,2,12575.364027041669,12520.817803396723,12466.985260988717,108.37876605295241,0.869326174565135,54.54622364494571,0.43564425664071305
new_ideal,SC-74121203,True,2,12715.772842945447,12582.918152343682,12581.50215433073,134.27068861471707,1.0672071344716116,132.85469060176547,1.0558337024311018
new_causal,SC-74121201,False,1,,,,,,,
new_causal,SC-74121202,True,2,12384.965147759642,12456.605622389094,12466.985260988717,-82.02011322907492,-0.6578985337034895,-71.640474629452,-0.5751203562284075
new_causal,SC-74121203,True,2,12520.789407443865,12526.878881432498,12581.50215433073,-60.712746886865716,-0.482555629225621,-6.089473988633472,-0.04861126259997108
