family,arm,case,time_s,online_seconds,fallback
T2,lookup,dir_m5,1200,1.4629816617816687,False
T2,lookup,dir_m5,1400,1.4684907170012593,False
T2,lookup,dir_m5,1600,1.466175670735538,False
T2,MPC,dir_m2,0,162.28615431301296,False
T2,MPC,dir_m2,200,161.6409338004887,False
T2,MPC,dir_m2,400,161.47304931282997,False
T2,MPC,dir_m2,600,161.4099734481424,False
T2,MPC,dir_m2,800,161.45685612410307,False
T2,MPC,dir_m2,1000,161.519368278794,False
T2,MPC,dir_m2,1200,161.51864405255765,False
T2,MPC,dir_m2,1400,161.41855936218053,False
T2,MPC,dir_m2,1600,161.4724284466356,False
T2,lookup,dir_m2,0,1.5144529500976205,False
T2,lookup,dir_m2,200,1.4806147459894419,False
T2,lookup,dir_m2,400,1.4742344412952662,False
T2,lookup,dir_m2,600,1.4687828477472067,False
T2,lookup,dir_m2,800,1.4794369786977768,False
T2,lookup,dir_m2,1000,1.4888356868177652,False
T2,lookup,dir_m2,1200,1.4867315655574203,False
T2,lookup,dir_m2,1400,1.4831388834863901,False
T2,lookup,dir_m2,1600,1.485992488451302,False
