family,arm,case,time_s,net_difference_kwh
T1,lookup,dir_m5,1480,11.889310218750001
T1,lookup,dir_m5,1500,11.08664820138889
T1,lookup,dir_m5,1520,12.264953946180556
T1,lookup,dir_m5,1540,16.124538378472224
T1,lookup,dir_m5,1560,16.496547786458333
T1,lookup,dir_m5,1580,16.150524161458335
T1,lookup,dir_m5,1600,15.619850210069444
T1,lookup,dir_m5,1620,16.712631291666668
T1,lookup,dir_m5,1640,16.277246442708332
T1,lookup,dir_m5,1660,15.468988862847223
T1,lookup,dir_m5,1680,15.458382753472222
T1,lookup,dir_m5,1700,16.10437546527778
T1,lookup,dir_m5,1720,16.244911581597222
T1,lookup,dir_m5,1740,18.20727386545139
T1,lookup,dir_m5,1760,20.885060665798612
T1,lookup,dir_m5,1780,21.256986798611113
T1,lookup,dir_m5,1800,19.92661544965278
T1,lookup,dir_m5,1820,21.173105970486112
T1,lookup,dir_m5,1840,22.005205395833336
T1,lookup,dir_m5,1860,22.000532216145835
T1,lookup,dir_m5,1880,22.099220815104168
T1,lookup,dir_m5,1900,21.697749657118056
T1,lookup,dir_m5,1920,22.89433313107639
T1,lookup,dir_m5,1940,26.155033861111114
T1,lookup,dir_m5,1960,26.260728130208335
T1,lookup,dir_m5,1980,26.778366595486112
T1,lookup,dir_m5,2000,28.999107725694444
T1,lookup,dir_m5,2020,32.10531356076389
T1,lookup,dir_m5,2040,33.64603602430556
T1,lookup,dir_m5,2060,34.05684211458334
T1,lookup,dir_m5,2080,32.76700961111111
T1,lookup,dir_m5,2100,34.30367936545139
T1,lookup,dir_m5,2120,34.99460523611111
T1,lookup,dir_m5,2140,34.25124789583334
T1,lookup,dir_m5,2160,33.115453638888894
T1,lookup,dir_m5,2180,33.91075010069445
T1,lookup,dir_m5,2200,33.802632875
T1,lookup,dir_m5,2220,32.12284017013889
T1,lookup,dir_m5,2240,31.27209420920139
T1,lookup,dir_m5,2260,29.558157462673613
T1,lookup,dir_m5,2280,27.917199355034725
T1,MPC,dir_m2,0,0.0
T1,MPC,dir_m2,20,0.0
T1,MPC,dir_m2,40,0.0
T1,MPC,dir_m2,60,0.0
T1,MPC,dir_m2,80,0.0
T1,MPC,dir_m2,100,0.0
