cell,family,segments,updates,time_s,cumulative_net_difference_kwh,farm_MW,noyaw_MW
OC-73090801__T1,T1,1,1,1360,9.900230687242296,6.177160875,6.159666875
OC-73090801__T1,T1,1,1,1380,10.326615565714519,6.2547645625,6.176426875
OC-73090801__T1,T1,1,1,1400,10.316913588596663,5.77756615625,5.741637328125
OC-73090801__T1,T1,1,1,1420,10.184708925402218,6.02668321875,6.037145234375
OC-73090801__T1,T1,1,1,1440,10.053598432346663,6.299446421875,6.321025171875
OC-73090801__T1,T1,1,1,1460,9.988087345541107,5.7317823125,5.76071425
OC-73090801__T1,T1,1,1,1480,9.874193000054996,5.905351625,5.91533009375
OC-73090801__T1,T1,1,1,1500,9.746917559082773,5.63358640625,5.65320921875
OC-73090801__T1,T1,1,1,1520,9.808798644152217,5.3812655625,5.3642325625
OC-73090801__T1,T1,1,1,1540,9.80384366324944,6.16773021875,6.1270065
OC-73090801__T1,T1,1,1,1560,9.60963381949944,6.1717301875,6.23983271875
OC-73090801__T1,T1,1,1,1580,9.368980276096663,6.228501625,6.24501909375
OC-73090801__T1,T1,1,1,1600,9.316987590034802,6.1201725625,6.05946128125
OC-73090801__T1,T1,1,1,1620,9.425375987604248,5.6214230625,5.607870375
OC-73090801__T1,T1,1,1,1640,9.500437241076472,5.819949625,5.84372103125
OC-73090801__T1,T1,1,1,1660,9.55622172718758,5.2588959375,5.23574053125
OC-73090801__T1,T1,1,1,1680,9.658555874757027,5.8436020625,5.82832846875
OC-73090801__T1,T1,1,1,1700,9.534721329618137,5.23618321875,5.28478521875
OC-73090801__T1,T1,1,1,1720,9.299693977187584,5.14791434375,5.22020040625
OC-73090801__T1,T1,1,1,1740,9.209402652534802,5.10087275,5.08626990625
OC-73090801__T1,T1,1,1,1760,9.329236477187582,5.562235890625,5.5153045625
OC-73090801__T1,T1,1,1,1780,9.581622807916748,6.1860555,6.1713634375
OC-73090801__T1,T1,1,1,1800,9.336208375067288,5.84582809375,5.83534034375
OC-73090801__T1,T1,1,1,1820,9.260803494858955,5.90870325,5.92460684375
OC-73090801__T1,T1,1,1,1840,9.174071067775621,6.10848234375,6.10428228125
OC-73090801__T1,T1,1,1,1860,9.302080145032566,6.56385790625,6.5284555625
OC-73090801__T1,T1,1,1,1880,9.397917004407565,6.222506875,6.18578709375
OC-73090801__T1,T1,1,1,1900,9.689076311699234,6.49610396875,6.43668275
OC-73090801__T1,T1,1,1,1920,9.8039120564909,5.8217303125,5.812755875
OC-73090801__T1,T1,1,1,1940,9.919029115518677,5.80520165625,5.7363695625
OC-73090801__T1,T1,1,1,1960,10.14582121447701,6.087418625,6.0445961875
OC-73090801__T1,T1,1,1,1980,10.087772304754788,5.6711401875,5.69120115625
OC-73090801__T1,T1,1,1,2000,10.130807735310343,5.64819990625,5.62899421875
OC-73090801__T1,T1,1,1,2020,10.470642466213121,5.36332725,5.2940413125
OC-73090801__T1,T1,1,1,2040,10.556213520032564,5.59885684375,5.59270853125
OC-73090801__T1,T1,1,1,2060,10.546965381143677,5.68428425,5.699720625
OC-73090801__T1,T1,1,1,2080,10.570618584268678,6.3250235,6.24878515625
OC-73090801__T1,T1,1,1,2100,10.781760993122843,6.054611953125,6.075332921875
OC-73090801__T1,T1,1,1,2120,10.464614650240899,5.9859035625,6.04331503125
OC-73090801__T1,T1,1,1,2140,10.6221550721159,6.16804528125,6.088943875
OC-73090801__T1,T1,1,1,2160,11.116731200588122,5.43511959375,5.3406093125
OC-73090801__T1,T1,1,1,2180,11.383934247463122,5.12468328125,5.12137946875
OC-73090801__T1,T1,1,1,2200,11.435400740518677,5.45603034375,5.4062680625
OC-73090801__T1,T1,1,1,2220,11.708684849893677,5.35539084375,5.3193904375
OC-73090801__T1,T1,1,1,2240,11.949980719685344,5.31467303125,5.271959875
OC-73090801__T1,T1,1,1,2260,12.139052315171455,6.2201348125,6.2128394375
OC-73090801__T1,T1,1,1,2280,12.047408004407567,6.5584339375,6.5928701875
OC-73090801__T2,T2,1,1,0,0,,
