run,family,arm,turbine,nominal_mean_MW,refined_mean_MW,absolute_relative_difference_percent,tolerance_percent,within_tolerance
linear_T1,T1,no_yaw,1,1.7876279918154763,1.7727017741369049,0.8420038777159032,5,True
linear_T1,T1,no_yaw,2,1.6457914842261905,1.631984929404762,0.8459976910733061,5,True
linear_T1,T1,no_yaw,3,1.5801572849999999,1.5671068598214286,0.8327718749223306,5,True
linear_T1,T1,no_yaw,4,0.8796649968452381,0.8725786572172618,0.8121147095867922,5,True
linear_T1,T1,no_yaw,5,0.6831623435267857,0.6830138297321429,0.021743892755599938,5,True
linear_T1,T1,no_yaw,6,0.6788786439880953,0.6907531604315477,1.7190679860275775,5,True
linear_T1,T1,no_yaw,7,0.8267744575669643,0.831296413139881,0.5439642829489458,5,True
linear_T1,T1,no_yaw,8,0.7568989054315477,0.7545900984077382,0.3059683699377108,5,True
linear_T1,T1,no_yaw,9,0.6957759676636904,0.7391283424404762,5.865337897021179,5,False
linear_T1,T1,prescribed_yaw,1,1.714351185952381,1.6999735941666667,0.8457538302388873,5,True
linear_T1,T1,prescribed_yaw,2,1.602049635595238,1.5887310865178572,0.8383136196177915,5,True
linear_T1,T1,prescribed_yaw,3,1.5221110971130953,1.5100428195833333,0.7992010142528209,5,True
linear_T1,T1,prescribed_yaw,4,0.9343783305208334,0.9429294012053572,0.9068622394839804,5,True
linear_T1,T1,prescribed_yaw,5,0.69710066875,0.697923872202381,0.11795032168526358,5,True
linear_T1,T1,prescribed_yaw,6,0.7349173665625001,0.7477484179166667,1.715958341966919,5,True
linear_T1,T1,prescribed_yaw,7,0.8497621359375,0.8281322046428572,2.6118935084732087,5,True
linear_T1,T1,prescribed_yaw,8,0.758716248764881,0.7335509215327382,3.4306176290475388,5,True
linear_T1,T1,prescribed_yaw,9,0.7226871258333334,0.745528633467262,3.063800182656779,5,True
cubic_Fourier_T1,T1,no_yaw,1,1.7876279918154763,1.779805112142857,0.43953574575366994,5,True
cubic_Fourier_T1,T1,no_yaw,2,1.6457914842261905,1.6389440902678571,0.4177930167962182,5,True
