family,time_s,turbine,row,MPC_disk_normal_m_s,NOYAW_disk_normal_m_s,MPC_filtered_disk_m_s,NOYAW_filtered_disk_m_s,delta_filtered_disk_m_s,yaw_deg
T1,120,1,1,5.510100364685059,5.510100364685059,5.529142379760742,5.529142379760742,0.0,0.0
T1,120,2,1,5.212026119232178,5.212026119232178,5.2416229248046875,5.2416229248046875,0.0,0.0
T1,120,3,1,5.78494930267334,5.78494930267334,5.755504608154297,5.755504608154297,0.0,0.0
T1,120,4,2,4.066359996795654,4.066359996795654,4.050093173980713,4.050093173980713,0.0,0.0
T1,120,5,2,3.5230519771575928,3.5230519771575928,3.526228904724121,3.526228904724121,0.0,0.0
T1,120,6,2,3.857062578201294,3.857062578201294,3.8429114818573,3.8429114818573,0.0,0.0
T1,120,7,3,3.8800342082977295,3.8800342082977295,3.841212749481201,3.841212749481201,0.0,0.0
T1,120,8,3,4.723447799682617,4.723447799682617,4.737953186035156,4.737953186035156,0.0,0.0
T1,120,9,3,4.459917068481445,4.459917068481445,4.462884902954102,4.462884902954102,0.0,0.0
T1,140,1,1,5.311644554138184,5.311644554138184,5.328059673309326,5.328059673309326,0.0,0.0
T1,140,2,1,4.910618305206299,4.910618305206299,4.930408477783203,4.930408477783203,0.0,0.0
T1,140,3,1,5.645017147064209,5.645017147064209,5.6742401123046875,5.6742401123046875,0.0,0.0
T1,140,4,2,3.6747989654541016,3.6747989654541016,3.700371265411377,3.700371265411377,0.0,0.0
T1,140,5,2,3.985004425048828,3.985004425048828,3.9826910495758057,3.9826910495758057,0.0,0.0
T1,140,6,2,3.5356900691986084,3.5356900691986084,3.573200225830078,3.573200225830078,0.0,0.0
T1,140,7,3,4.0284271240234375,4.0284271240234375,4.072665691375732,4.072665691375732,0.0,0.0
T1,140,8,3,4.701900959014893,4.701900959014893,4.702093124389648,4.702093124389648,0.0,0.0
T1,140,9,3,4.093442916870117,4.093442916870117,4.143062114715576,4.143062114715576,0.0,0.0
T1,160,1,1,5.381942272186279,5.381942272186279,5.390374660491943,5.390374660491943,0.0,0.0
T1,160,2,1,4.789483547210693,4.789483547210693,4.8165202140808105,4.8165202140808105,0.0,0.0
T1,160,3,1,5.334452152252197,5.334452152252197,5.3275933265686035,5.3275933265686035,0.0,0.0
T1,160,4,2,3.2524688243865967,3.2524688243865967,3.274695634841919,3.274695634841919,0.0,0.0
