cell,family,segments,updates,time_s,online_seconds,fallback_reasons,predicted_initial_MW,predicted_best_MW,evaluations
OC-73090801__T1,T1,1,1,0,65.98862140160054,,10.086343765258789,10.098901748657227,2
OC-73090801__T1,T1,1,1,200,67.25034894794226,,12.996577262878418,13.025373458862305,2
OC-73090801__T1,T1,1,1,400,65.4704629201442,,13.585744857788086,13.592207908630371,2
OC-73090801__T1,T1,1,1,600,65.45554896537215,,12.516029357910156,12.531535148620605,2
OC-73090801__T1,T1,1,1,800,65.48893189523369,,9.406542778015137,9.414222717285156,2
OC-73090801__T1,T1,1,1,1000,65.481770016253,,6.278904438018799,6.292890548706055,2
OC-73090801__T1,T1,1,1,1200,65.49624304287136,,5.78039026260376,5.792334079742432,2
OC-73090801__T1,T1,1,1,1400,65.49511767551303,,5.767632961273193,5.773718357086182,2
OC-73090801__T1,T1,1,1,1600,65.46705243550241,,5.825368881225586,5.833024024963379,2
OC-73090801__T1,T1,1,2,0,97.58830495644361,,10.086343765258789,10.110919952392578,3
OC-73090801__T1,T1,1,2,200,99.19513292331249,,13.033610343933105,13.084551811218262,3
OC-73090801__T1,T1,1,2,400,97.04869776871055,,13.623478889465332,13.643668174743652,3
OC-73090801__T1,T1,1,2,600,97.03814896568656,,12.577160835266113,12.615394592285156,3
OC-73090801__T1,T1,1,2,800,97.06723726447672,,9.479660987854004,9.486348152160645,3
OC-73090801__T1,T1,1,2,1000,97.05900460481644,,6.2874369621276855,6.310443878173828,3
OC-73090801__T1,T1,1,2,1200,97.05816068220884,,5.767751216888428,5.79048490524292,3
OC-73090801__T1,T1,1,2,1400,97.0640352955088,,5.764678001403809,5.782828330993652,3
OC-73090801__T1,T1,1,2,1600,97.06478498037905,,5.818643093109131,5.83443021774292,3
OC-73090801__T1,T1,1,4,0,160.1342248590663,,10.086343765258789,10.133749961853027,5
OC-73090801__T1,T1,1,4,200,159.5869861440733,,13.099382400512695,13.216718673706055,5
OC-73090801__T1,T1,1,4,400,159.58613073825836,,13.787919998168945,13.855539321899414,5
OC-73090801__T1,T1,1,4,600,159.5861010570079,,12.727556228637695,12.808110237121582,5
OC-73090801__T1,T1,1,4,800,159.49431166239083,,9.52772331237793,9.59067153930664,5
OC-73090801__T1,T1,1,4,1000,159.51726202201098,,6.307253837585449,6.347255229949951,5
OC-73090801__T1,T1,1,4,1200,159.5471200477332,,5.880062103271484,5.9100542068481445,5
OC-73090801__T1,T1,1,4,1400,159.5561922751367,,5.830377578735352,5.859094619750977,5
OC-73090801__T1,T1,1,4,1600,159.49652695748955,,5.848494052886963,5.876980781555176,5
OC-73090801__T2,T2,1,4,0,160.04830447491258,,10.47368049621582,10.47972583770752,5
OC-73090801__T2,T2,1,4,200,159.48535519000143,,12.499653816223145,12.548563957214355,5
OC-73090801__T2,T2,1,4,400,159.50109170377254,,14.502359390258789,14.569558143615723,5
OC-73090801__T2,T2,1,4,600,159.56171032506973,,14.668803215026855,14.696149826049805,5
OC-73090801__T2,T2,1,4,800,159.57049568835646,,13.864703178405762,13.891505241394043,5
OC-73090801__T2,T2,1,4,1000,159.41636472567916,,11.338521957397461,11.390682220458984,5
OC-73090801__T2,T2,1,4,1200,159.47138729225844,,9.238306045532227,9.313759803771973,5
OC-73090801__T2,T2,1,4,1400,159.48026474099606,,8.78470230102539,8.813909530639648,5
OC-73090801__T2,T2,1,4,1600,159.5146349137649,,8.915355682373047,8.928979873657227,5
OC-73090801__T1,T1,1,8,0,290.1262980699539,deadline,10.086343765258789,10.186841011047363,9
OC-73090801__T1,T1,1,8,200,285.5640934985131,deadline,12.96066665649414,13.163959503173828,9
OC-73090801__T1,T1,1,8,400,285.56143817398697,deadline,13.547357559204102,13.619479179382324,9
OC-73090801__T1,T1,1,8,600,285.5510285580531,deadline,12.503260612487793,12.574238777160645,9
OC-73090801__T1,T1,1,8,800,285.5612586271018,deadline,9.40418529510498,9.433873176574707,9
OC-73090801__T1,T1,1,8,1000,285.58630207553506,deadline,6.2805633544921875,6.3313093185424805,9
OC-73090801__T1,T1,1,8,1200,285.5100212469697,deadline,5.799060821533203,5.860050201416016,9
OC-73090801__T1,T1,1,8,1400,285.4995688991621,deadline,5.762243270874023,5.801721572875977,9
OC-73090801__T1,T1,1,8,1600,285.55507856514305,deadline,5.813843250274658,5.841258525848389,9
OC-73090801__T1,T1,2,4,0,160.15788142662495,,10.086343765258789,10.13814926147461,5
OC-73090801__T1,T1,2,4,200,159.78445666097105,,13.071361541748047,13.164029121398926,5
OC-73090801__T1,T1,2,4,400,159.73623865284026,,13.729153633117676,13.836045265197754,5
OC-73090801__T1,T1,2,4,600,159.59772957488894,,12.768232345581055,12.856230735778809,5
OC-73090801__T1,T1,2,4,800,159.74570308066905,,9.585967063903809,9.608932495117188,5
OC-73090801__T1,T1,2,4,1000,159.73764131218195,,6.3277740478515625,6.369508743286133,5
OC-73090801__T1,T1,2,4,1200,159.77135270368308,,5.877846717834473,5.916844367980957,5
OC-73090801__T1,T1,2,4,1400,159.65102983545512,,5.842892169952393,5.8916521072387695,5
OC-73090801__T1,T1,2,4,1600,159.66067148651928,,5.857804775238037,5.888465881347656,5
