family,arm,plant,generation_kwh,motion_kwh,net_kwh,noyaw_kwh,gain_percent,yaw_travel_deg,maximum_online_seconds,fallback_count,original_response_agreement_pass,physical_validation_claim
T1,MPC,nominal,5509.295668091146,5.153615400195122,5504.142052690951,5418.467126974826,1.5811653685155358,185.53015440702438,160.1342248590663,0,,False
T1,lookup,nominal,5555.288293736111,2.343750238418579,5552.944543497692,5418.467126974826,2.4818350535596334,84.37500858306885,0.17914491333067417,0,,False
T2,MPC,nominal,7051.806846769097,5.854653596050209,7045.952193173047,6983.739188203125,0.8908265800505744,210.76752945780754,160.04830447491258,0,,False
T2,lookup,nominal,6970.9672353263895,4.687500476837158,6966.279734849552,6983.739188203125,-0.2500015089776708,168.7500171661377,0.17430038005113602,0,,False
T1,MPC,refined,5510.598303924479,5.106072429981497,5505.492231494498,5458.1753172335075,0.8668998614169254,183.81860747933388,160.09132090769708,0,False,False
