power_kw,E_net_kwh,zero_net_kwh,lookup_net_kwh,G_net_kwh,E_vs_zero_percent,E_vs_lookup_percent,E_vs_G_percent
0,74482.37327595487,73602.15687956424,73853.08206395747,74487.98176442101,1.1959111440591919,0.8520852406030066,-0.007529387067939375
10,74459.42538922146,73602.15687956424,73839.01956395747,74463.48024163548,1.1647328638207943,0.8402140615188181,-0.005445424254757469
30,74413.52961575464,73602.15687956424,73810.89456395747,74414.4771960644,1.1023763033440215,0.8164581331215004,-0.0012733816664001196
60,74344.68595555442,73602.15687956424,73768.70706395747,74340.9726277078,1.008841462628851,0.7807902761499896,0.00499499497432776
100,74252.89440862079,73602.15687956424,73712.45706395747,74242.96653656565,0.8841283416753054,0.7331696244969876,0.013372138154332802
