root,family,paired_information_change,net_change_kwh,generation_change_kwh,motion_electricity_change_kwh,control_phase_net_change_kwh,terminal_hold_net_change_kwh,mean_absolute_executed_yaw_difference_deg,ideal_median_delay_state_relative_error,ideal_max_delay_state_relative_error,ideal_predicted_objective_nondecreasing_decisions,causal_median_delay_state_relative_error,causal_max_delay_state_relative_error,causal_predicted_objective_nondecreasing_decisions
SC-74121201,T2,past_mean_minus_exact,-98.56862854920018,-97.08445263368048,1.4841759155193968,-87.96612584086597,-10.602502708333304,4.1489868442673545,0.0,0.0,9,0.9264586461534591,1.3037618626979268,9
SC-74121202,T1,past_mean_minus_exact,-73.13231853862999,-72.06187096788199,1.070447570747799,-47.79051341797094,-25.34180512065973,5.30137502724559,0.0,0.0,9,0.8798276342902862,1.2805050497395993,9
SC-74121202,T2,past_mean_minus_exact,-117.26656074340099,-115.50946108680546,1.7570996565951242,-75.1640566722208,-42.10250407118065,5.267918445271155,0.0,0.0,9,0.8601347660619204,1.4383381824095993,9
SC-74121203,T1,past_mean_minus_exact,-134.23998422205023,-132.395456100694,1.8445281213563343,-106.76710343906416,-27.472880782986067,6.352588726239493,0.0,0.0,9,1.0850763272436599,1.5960577254252466,9
SC-74121203,T2,past_mean_minus_exact,-60.743451279530746,-59.57295613367933,1.170495145850711,-59.49076962328127,-1.2526816562501608,4.531669980346989,0.0,0.0,9,0.9969791368870413,1.8137901787632758,9
