scenario,issue_s,window_s,V_FF_kwh,V_TT_kwh,V_TF_kwh,V_FT_kwh,Delta_mean_kwh,Delta_residual_kwh,Interaction_kwh,band_Delta_mean_kwh,band_Delta_residual_kwh,band_Interaction_kwh,category,band_FF_kwh,band_TT_kwh,band_TF_kwh,band_FT_kwh
T1,400,200,1.8356417164182517,-2.376893261012242,3.6127707997516154,-0.9754700092761937,1.7771290833333637,-2.8111117256944453,-3.178552335069412,0.022204378938020835,0.01694124760402778,0.04638829577401042,residual_replacement_reverses,0.008177802430885417,0.015420471662847223,0.014026576507135418,0.008763445173142361
T1,400,480,25.007226999404338,-0.10292480094290113,4.997118841418342,-4.697878594345639,-20.010108157985997,-29.705105593749977,24.605061951388734,0.05125860756493056,0.03794430540324653,0.10754671290751737,residual_replacement_reverses,0.01785407269140625,0.03619787263074653,0.03340453487352431,0.02009023271184028
T1,1200,200,1.0095391234457907,-1.3354276352347938,-0.01155680016529459,-1.3040081664847776,-1.0210959236110853,-2.3135472899305682,0.989676454861069,0.014417090215086808,0.019362070411909724,0.03143910309701389,both_single_replacements_reverse,0.008846728921892363,0.006506671391909723,0.0055703612931944455,0.010515341490017363
T1,1200,480,33.380094711987454,-1.6876122593666878,10.448772479782633,2.716857404695702,-22.93132223220482,-30.66323730729175,18.52685256814243,0.03255958782180122,0.04401150067631944,0.0726521389690842,joint_only_or_unresolved,0.019281011745416667,0.01536206221638021,0.01327857607638455,0.024730488930902777
T2,400,200,2.2994582540927695,-9.789637037574039,-6.923073627851636,-1.9461232927823175,-9.222531881944406,-4.245581546875087,1.3790181371526842,0.024219284505277782,0.021878569640954866,0.05074828846119792,both_single_replacements_reverse,0.010637330603368057,0.015287764918333335,0.013581953901909725,0.011241239037586807
T2,400,480,34.51301940904068,-16.022522273685126,-5.725081277157415,3.159858983259255,-40.238100686198095,-31.353160425781425,21.055719429253713,0.05788342021605469,0.04945313180494358,0.12171778239987414,mean_replacement_reverses,0.023545832038901912,0.03792706241777778,0.03433758817715278,0.025907299766041666
T2,1200,200,3.172670010719912,-0.5634489944883398,-0.728149126432811,0.051613495095011785,-3.900819137152723,-3.1210565156249004,3.2857566475693716,0.021065092035069448,0.025354321259565975,0.0458902428996875,mean_replacement_reverses,0.011604466423593751,0.011075296028645834,0.009460625611475695,0.013749854835972224
T2,1200,480,50.86169688224754,-0.26773310733551625,-5.062642668967555,24.30548830412272,-55.9243395512151,-26.556208578124824,31.351118139756863,0.04715516099327257,0.060074094222482645,0.1048959930224566,mean_replacement_reverses,0.026751078460538195,0.024417816267239583,0.020404082532734374,0.03332301576194445
