root,scenario,issue_s,forecast_id,inlet,action,window_s,gross_kwh,yaw_kwh,net_kwh,travel_deg,band_kwh
SC-74121202,T1,400,past_mean,past_mean,q0,200,359.64811853385424,0.0,359.64811853385424,0.0,0.0035974811853385427
SC-74121202,T1,400,past_mean,past_mean,q0,480,789.6069316497396,0.0,789.6069316497396,0.0,0.007897069316497396
SC-74121202,T1,400,past_mean,past_mean,q1,200,363.18641075868055,0.791375546819634,362.39503521186094,28.48951968550682,0.0036328641075868058
SC-74121202,T1,400,past_mean,past_mean,q1,480,814.818851782118,0.791375546819634,814.0274762352984,28.48951968550682,0.00814918851782118
SC-74121202,T1,400,past_mean,truth,q0,200,765.6585315069445,0.0,765.6585315069445,0.0,0.007657585315069446
SC-74121202,T1,400,past_mean,truth,q0,480,1844.5220666840278,0.0,1844.5220666840278,0.0,0.01844622066684028
SC-74121202,T1,400,past_mean,truth,q1,200,765.7306098159722,0.791375546819634,764.9392342691526,28.48951968550682,0.007658306098159723
SC-74121202,T1,400,past_mean,truth,q1,480,1856.471569279514,0.791375546819634,1855.6801937326943,28.48951968550682,0.01856571569279514
SC-74121202,T1,1200,past_mean,past_mean,q0,200,594.2019044201389,0.0,594.2019044201389,0.0,0.00594301904420139
SC-74121202,T1,1200,past_mean,past_mean,q0,480,1272.749671604167,0.0,1272.749671604167,0.0,0.01272849671604167
SC-74121202,T1,1200,past_mean,past_mean,q1,200,594.2052125260417,0.6929334021276898,593.512279123914,24.945602476596832,0.005943052125260417
SC-74121202,T1,1200,past_mean,past_mean,q1,480,1311.5663779114582,0.6929334021276898,1310.8734445093305,24.945602476596832,0.013116663779114583
SC-74121202,T1,1200,past_mean,truth,q0,200,353.98111996267363,0.0,353.98111996267363,0.0,0.0035408111996267366
SC-74121202,T1,1200,past_mean,truth,q0,480,798.9586509479168,0.0,798.9586509479168,0.0,0.007990586509479168
SC-74121202,T1,1200,past_mean,truth,q1,200,350.85416073177083,0.6929334021276898,350.16122732964317,24.945602476596832,0.003509541607317709
SC-74121202,T1,1200,past_mean,truth,q1,480,792.7966461623265,0.6929334021276898,792.1037127601988,24.945602476596832,0.007928966461623265
SC-74121202,T2,400,past_mean,past_mean,q0,200,485.7404014782986,0.0,485.7404014782986,0.0,0.004858404014782987
SC-74121202,T2,400,past_mean,past_mean,q0,480,1060.3298721610245,0.0,1060.3298721610245,0.0,0.010604298721610245
SC-74121202,T2,400,past_mean,past_mean,q1,200,488.4796651032986,0.7934766643577151,487.68618843894086,28.565159916877747,0.004885796651032987
SC-74121202,T2,400,past_mean,past_mean,q1,480,1101.4495724735243,0.7934766643577151,1100.6560958091666,28.565159916877747,0.011015495724735242
SC-74121202,T2,400,past_mean,truth,q0,200,726.8148939878473,0.0,726.8148939878473,0.0,0.007269148939878474
SC-74121202,T2,400,past_mean,truth,q0,480,1797.365992751736,0.0,1797.365992751736,0.0,0.017974659927517362
SC-74121202,T2,400,past_mean,truth,q1,200,734.3320499375001,0.7934766643577151,733.5385732731423,28.565159916877747,0.007344320499375001
SC-74121202,T2,400,past_mean,truth,q1,480,1803.049097670139,0.7934766643577151,1802.2556210057812,28.565159916877747,0.01803149097670139
SC-74121202,T2,1200,past_mean,past_mean,q0,200,672.7376761493057,0.0,672.7376761493057,0.0,0.006728376761493057
SC-74121202,T2,1200,past_mean,past_mean,q0,480,1560.9008404392362,0.0,1560.9008404392362,0.0,0.015610008404392361
SC-74121202,T2,1200,past_mean,past_mean,q1,200,676.5987828437501,0.6363396942615509,675.9624431494885,22.908228993415833,0.006766987828437501
SC-74121202,T2,1200,past_mean,past_mean,q1,480,1587.8005498333334,0.6363396942615509,1587.1642101390719,22.908228993415833,0.015879005498333338
SC-74121202,T2,1200,past_mean,truth,q0,200,572.5362421666667,0.0,572.5362421666667,0.0,0.005726362421666668
SC-74121202,T2,1200,past_mean,truth,q0,480,1253.8497625277778,0.0,1253.8497625277778,0.0,0.012539497625277778
SC-74121202,T2,1200,past_mean,truth,q1,200,576.3610202534722,0.6363396942615509,575.7246805592107,22.908228993415833,0.005764610202534723
SC-74121202,T2,1200,past_mean,truth,q1,480,1256.4264929704862,0.6363396942615509,1255.7901532762246,22.908228993415833,0.012565264929704861
SC-74121203,T1,400,past_mean,past_mean,q0,200,271.8734091762153,0.0,271.8734091762153,0.0,0.0027197340917621536
SC-74121203,T1,400,past_mean,past_mean,q0,480,593.4108889565972,0.0,593.4108889565972,0.0,0.005935108889565973
SC-74121203,T1,400,past_mean,past_mean,q1,200,272.82693395659726,0.6326456570790874,272.1942882995182,22.775243654847145,0.002729269339565973
SC-74121203,T1,400,past_mean,past_mean,q1,480,610.7499081119792,0.6326456570790874,610.1172624549,22.775243654847145,0.006108499081119792
SC-74121203,T1,400,past_mean,truth,q0,200,789.3925141527778,0.0,789.3925141527778,0.0,0.007894925141527778
SC-74121203,T1,400,past_mean,truth,q0,480,1808.828144246528,0.0,1808.828144246528,0.0,0.018089281442465282
SC-74121203,T1,400,past_mean,truth,q1,200,791.2020773958334,0.6326456570790874,790.5694317387542,22.775243654847145,0.007913020773958333
SC-74121203,T1,400,past_mean,truth,q1,480,1810.7684287986112,0.6326456570790874,1810.135783141532,22.775243654847145,0.018108684287986114
SC-74121203,T1,1200,past_mean,past_mean,q0,200,576.6317415017361,0.0,576.6317415017361,0.0,0.005767317415017362
SC-74121203,T1,1200,past_mean,past_mean,q0,480,1273.464797017361,0.0,1273.464797017361,0.0,0.01273564797017361
SC-74121203,T1,1200,past_mean,past_mean,q1,200,580.6279403350695,0.7597345569067531,579.8682057781627,27.350444048643112,0.005807279403350696
SC-74121203,T1,1200,past_mean,past_mean,q1,480,1302.4011355989583,0.7597345569067531,1301.6414010420515,27.350444048643112,0.013025011355989583
SC-74121203,T1,1200,past_mean,truth,q0,200,356.80212579687503,0.0,356.80212579687503,0.0,0.003569021257968751
SC-74121203,T1,1200,past_mean,truth,q0,480,818.7055019592015,0.0,818.7055019592015,0.0,0.008188055019592015
SC-74121203,T1,1200,past_mean,truth,q1,200,354.9890838098959,0.7597345569067531,354.2293492529891,27.350444048643112,0.0035508908380989593
SC-74121203,T1,1200,past_mean,truth,q1,480,814.552726608507,0.7597345569067531,813.7929920516002,27.350444048643112,0.00814652726608507
SC-74121203,T2,400,past_mean,past_mean,q0,200,373.49492260156256,0.0,373.49492260156256,0.0,0.003735949226015626
SC-74121203,T2,400,past_mean,past_mean,q0,480,818.1848989592014,0.0,818.1848989592014,0.0,0.008182848989592014
SC-74121203,T2,400,past_mean,past_mean,q1,200,374.3635249696181,0.6409803463353051,373.7225446232828,23.075292468070984,0.0037446352496961813
SC-74121203,T2,400,past_mean,past_mean,q1,480,841.2542245460071,0.6409803463353051,840.6132441996718,23.075292468070984,0.00841354224546007
SC-74121203,T2,400,past_mean,truth,q0,200,772.2847175,0.0,772.2847175,0.0,0.007723847175000001
SC-74121203,T2,400,past_mean,truth,q0,480,1882.7652360555555,0.0,1882.7652360555555,0.0,0.01882865236055556
SC-74121203,T2,400,past_mean,truth,q1,200,769.771778388889,0.6409803463353051,769.1307980425537,23.075292468070984,0.00769871778388889
SC-74121203,T2,400,past_mean,truth,q1,480,1878.6660059722221,0.6409803463353051,1878.0250256258869,23.075292468070984,0.018787660059722225
SC-74121203,T2,1200,past_mean,past_mean,q0,200,893.8391676388889,0.0,893.8391676388889,0.0,0.008939391676388889
SC-74121203,T2,1200,past_mean,past_mean,q0,480,2152.6971329166668,0.0,2152.6971329166668,0.0,0.02152797132916667
SC-74121203,T2,1200,past_mean,past_mean,q1,200,892.8736814583333,0.5900748239623176,892.2836066343709,21.242693662643433,0.008929736814583334
SC-74121203,T2,1200,past_mean,past_mean,q1,480,2164.724733152778,0.5900748239623176,2164.1346583288155,21.242693662643433,0.02164824733152778
SC-74121203,T2,1200,past_mean,truth,q0,200,626.1512398645834,0.0,626.1512398645834,0.0,0.006262512398645835
SC-74121203,T2,1200,past_mean,truth,q0,480,1303.855230564236,0.0,1303.855230564236,0.0,0.013039552305642362
SC-74121203,T2,1200,past_mean,truth,q1,200,627.6969134305556,0.5900748239623176,627.1068386065932,21.242693662643433,0.006277969134305557
SC-74121203,T2,1200,past_mean,truth,q1,480,1307.8012412968749,0.5900748239623176,1307.2111664729125,21.242693662643433,0.013079012412968749
