family,mpc_net_kwh,lookup_net_kwh,noyaw_kwh,yaw_travel_deg,maximum_online_seconds,delta_noyaw_kwh,delta_lookup_kwh,gain_noyaw_percent,gain_lookup_percent
T1,5393.9930568492155,5552.943202788971,5418.467126974826,239.06462186574936,160.98177650943398,-24.474070125610524,-158.9501459397552,-0.4516788521936571,-2.862448617517326
T2,6948.255092386988,6922.897016887358,6983.739188203125,256.95882856845856,161.34474087134004,-35.4840958161376,25.358075499629194,-0.508095947742107,0.3662928314226257
