family,arm,case,time_s,net_difference_kwh
T2,lookup,dir_m2,1640,-118.46024616421509
T2,lookup,dir_m2,1660,-122.60266902706232
T2,lookup,dir_m2,1680,-127.4565799176873
T2,lookup,dir_m2,1700,-131.13983383261788
T2,lookup,dir_m2,1720,-133.53037246977064
T2,lookup,dir_m2,1740,-134.48936055136787
T2,lookup,dir_m2,1760,-136.5348117579651
T2,lookup,dir_m2,1780,-138.96199395414564
T2,lookup,dir_m2,1800,-139.01358829711913
T2,lookup,dir_m2,1820,-138.40637274850803
T2,lookup,dir_m2,1840,-138.06872680059135
T2,lookup,dir_m2,1860,-139.78873581621636
T2,lookup,dir_m2,1880,-138.45811719295247
T2,lookup,dir_m2,1900,-137.13822673635525
T2,lookup,dir_m2,1920,-135.4204361669108
T2,lookup,dir_m2,1940,-133.9198105089247
T2,lookup,dir_m2,1960,-130.82546409052193
T2,lookup,dir_m2,1980,-126.39362915475805
T2,lookup,dir_m2,2000,-124.4349052103136
T2,lookup,dir_m2,2020,-122.96916585788303
T2,lookup,dir_m2,2040,-122.48920036135526
T2,lookup,dir_m2,2060,-119.7667641495497
T2,lookup,dir_m2,2080,-117.88300593774414
T2,lookup,dir_m2,2100,-119.22129390475803
T2,lookup,dir_m2,2120,-119.99393026239693
T2,lookup,dir_m2,2140,-117.77023106100805
T2,lookup,dir_m2,2160,-118.24302565128582
T2,lookup,dir_m2,2180,-118.63977368253582
T2,lookup,dir_m2,2200,-119.63066248461915
T2,lookup,dir_m2,2220,-121.95465449850805
T2,lookup,dir_m2,2240,-123.33462359920249
T2,lookup,dir_m2,2260,-125.05329607663305
T2,lookup,dir_m2,2280,-124.73495037871638
T2,MPC,dir_p2,0,0.0
T2,MPC,dir_p2,20,0.0
T2,MPC,dir_p2,40,0.0
T2,MPC,dir_p2,60,0.0
T2,MPC,dir_p2,80,0.0
T2,MPC,dir_p2,100,0.0
T2,MPC,dir_p2,120,0.0
T2,MPC,dir_p2,140,0.0
T2,MPC,dir_p2,160,0.0
T2,MPC,dir_p2,180,0.0
T2,MPC,dir_p2,200,-0.9417858386654324
T2,MPC,dir_p2,220,-0.9998184688737658
T2,MPC,dir_p2,240,-1.474771156373766
T2,MPC,dir_p2,260,-1.9608313247765434
T2,MPC,dir_p2,280,-2.240044158109877
T2,MPC,dir_p2,300,-2.303272206720988
T2,MPC,dir_p2,320,-2.246028204984877
T2,MPC,dir_p2,340,-2.0784275296376546
T2,MPC,dir_p2,360,-1.5121963039432103
T2,MPC,dir_p2,380,-1.6144993074154326
T2,MPC,dir_p2,400,-2.1386409659550987
T2,MPC,dir_p2,420,-1.7475440770662094
T2,MPC,dir_p2,440,-0.8043668166495428
T2,MPC,dir_p2,460,-0.32395016039954294
T2,MPC,dir_p2,480,0.6871638864754572
T2,MPC,dir_p2,500,0.9107488639060131
T2,MPC,dir_p2,520,1.2465856191143463
T2,MPC,dir_p2,540,1.0757180479337907
T2,MPC,dir_p2,560,1.541214113906013
T2,MPC,dir_p2,580,1.0596219420310125
T2,MPC,dir_p2,600,-0.27382278711530894
T2,MPC,dir_p2,620,-0.7410295891986423
