case,family,direction_bias_deg,velocity_scale,MPC_minus_noyaw_kwh,MPC_minus_lookup_kwh,MPC_gain_over_noyaw_percent,MPC_gain_over_lookup_percent,root_count
dir_m5,T1,-5.0,1.0,-5.775701297893647,-33.692900652928984,-0.10659290095422769,-0.6186287752416697,1
dir_m5,T2,-5.0,1.0,-47.6020096574257,163.52628008701595,-0.6816120759182254,2.4145234760826417,1
dir_m5,pooled,-5.0,1.0,-53.377710955319344,129.83337943408696,-0.43038883242891846,1.0625536473792385,1
dir_m2,T1,-2.0,1.0,13.25488490636235,-14.661918519670508,0.2446242561918499,-0.26920464489897933,1
dir_m2,T2,-2.0,1.0,7.187665448197549,131.9226158269139,0.10292001540290752,1.923349385023232,1
dir_m2,pooled,-2.0,1.0,20.442550354560808,117.26069730724339,0.1648299490836891,0.9529215633362176,1
dir_p2,T1,2.0,1.0,77.75418608263226,-56.722493031891645,1.434984918438409,-1.021485089938956,1
dir_p2,T2,2.0,1.0,15.0628509156968,-14.118904951588775,0.21568461406951123,-0.20132702285096116,1
dir_p2,pooled,2.0,1.0,92.81703699832906,-70.84139798348042,0.7483913316676416,-0.5637606276367113,1
dir_p5,T1,5.0,1.0,50.58787812247738,-83.88781794175884,0.9336197292890258,-1.510691188710056,1
dir_p5,T2,5.0,1.0,-52.55347087514929,-95.67346105744036,-0.7525119346369902,-1.3615394677572557,1
dir_p5,pooled,5.0,1.0,-1.9655927526728192,-179.56127899920102,-0.015848734513213003,-1.4273776246944814,1
speed_m5,T1,0.0,0.95,73.79605225899104,-60.67964380524518,1.3619359595560043,-1.0927474987404207,1
speed_m5,T2,0.0,0.95,60.890610435280905,78.35129488993607,0.8718912432774895,1.124722401606193,1
speed_m5,pooled,0.0,0.95,134.68666269427194,17.671651084690893,1.0859895350187942,0.1411561519954807,1
speed_p5,T1,0.0,1.05,71.84209666614788,-63.8277815802885,1.3258749196520148,-1.149193502434065,1
speed_p5,T2,0.0,1.05,56.98422924625265,74.44444966097853,0.8159558613315632,1.068640087559003,1
speed_p5,pooled,0.0,1.05,128.82632591239962,10.616668080689124,1.0387371620704355,0.08479485109420537,1
