family,forecast_level,arm,time_s,cumulative_net_difference_kwh
T1,ideal,lookup,300,-12.267773471650866
T1,ideal,lookup,320,-15.012268452553643
T1,ideal,lookup,340,-17.30563474595642
T1,ideal,lookup,360,-18.776442737275868
T1,ideal,lookup,380,-20.344086489011975
T1,ideal,lookup,400,-20.263026256373088
T1,ideal,lookup,420,-20.362069530678642
T1,ideal,lookup,440,-19.017352598386978
T1,ideal,lookup,460,-15.642839841442532
T1,ideal,lookup,480,-12.460941643525866
T1,ideal,lookup,500,-10.669972956025866
T1,ideal,lookup,520,-5.501278251164754
T1,ideal,lookup,540,-3.9723443726925325
T1,ideal,lookup,560,-1.003614622692532
T1,ideal,lookup,580,-3.395002393525865
T1,ideal,lookup,600,-6.193031879248725
T1,ideal,lookup,620,2.6902139957512747
T1,ideal,lookup,640,13.096839415890164
T1,ideal,lookup,660,15.508537450612385
T1,ideal,lookup,680,17.889779849917943
T1,ideal,lookup,700,23.23968247144572
T1,ideal,lookup,720,24.421850565195722
T1,ideal,lookup,740,27.738369270056836
T1,ideal,lookup,760,32.95726116936238
T1,ideal,lookup,780,37.86317905130683
T1,ideal,lookup,800,40.979636965277784
T1,ideal,lookup,820,47.29932924305556
T1,ideal,lookup,840,53.47792494097223
T1,ideal,lookup,860,63.627331208333345
T1,ideal,lookup,880,67.12971216666666
T1,ideal,lookup,900,69.28915908333335
T1,ideal,lookup,920,73.7368924861111
T1,ideal,lookup,940,74.07767285069444
T1,ideal,lookup,960,78.28654578645833
T1,ideal,lookup,980,79.95229007465278
T1,ideal,lookup,1000,78.7409547251231
T1,ideal,lookup,1020,76.87926089526198
T1,ideal,lookup,1040,76.30902341262309
T1,ideal,lookup,1060,83.82695637095642
T1,ideal,lookup,1080,92.64820728415087
T1,ideal,lookup,1100,95.29076583970642
T1,ideal,lookup,1120,98.2056880376231
T1,ideal,lookup,1140,95.77624676331753
T1,ideal,lookup,1160,96.7293805237342
T1,ideal,lookup,1180,100.20376025290086
T1,ideal,lookup,1200,103.94223430498421
T1,ideal,lookup,1220,105.16428928415087
T1,ideal,lookup,1240,104.41456732755364
T1,ideal,lookup,1260,104.38770105151198
T1,ideal,lookup,1280,104.54747178675504
T1,ideal,lookup,1300,101.79761773640782
T1,ideal,lookup,1320,101.57265006019254
T1,ideal,lookup,1340,102.51112269040088
T1,ideal,lookup,1360,104.20177975984532
T1,ideal,lookup,1380,102.52329482060921
T1,ideal,lookup,1400,101.11172981279671
T1,ideal,lookup,1420,100.72267921644254
T1,ideal,lookup,1440,100.75278528762308
T1,ideal,lookup,1460,102.04159506713698
T1,ideal,lookup,1480,103.8453978362342
T1,ideal,lookup,1500,104.90111159838698
T1,ideal,lookup,1520,105.98321027894254
T1,ideal,lookup,1540,107.63662230151198
T1,ideal,lookup,1560,107.12902694040086
T1,ideal,lookup,1580,108.39053893519254
T1,ideal,lookup,1600,108.3599473344981
T1,ideal,lookup,1620,107.8161749126231
T1,ideal,lookup,1640,110.58430079630365
T1,ideal,lookup,1660,113.48905246644253
T1,ideal,lookup,1680,117.25512098901198
T1,ideal,lookup,1700,117.34432161053975
T1,ideal,lookup,1720,118.55973423380365
T1,ideal,lookup,1740,119.63999881453282
T1,ideal,lookup,1760,123.2011533127967
T1,ideal,lookup,1780,125.45484247859531
