family,forecast_level,arm,generation_kwh,yaw_motion_kwh,net_kwh,noyaw_kwh,gain_over_no_yaw_percent,yaw_travel_deg,maximum_online_seconds,fallback_count
T1,ideal,MPC,5509.295668091146,5.153615400195122,5504.142052690951,5418.467126974826,1.5811653685155358,185.53015440702438,160.1342248590663,0
T1,ideal,lookup,5555.288293736111,2.343750238418579,5552.944543497692,5418.467126974826,2.4818350535596334,84.37500858306885,0.17914491333067417,0
T1,causal,MPC,5400.694823534723,6.6572106058398886,5394.0376129288825,5418.467126974826,-0.4508565517418295,239.65958181023598,160.75146901793778,0
T1,causal,lookup,5555.286573039062,2.34375,5552.942823039062,5418.467126974826,2.4818033018005003,84.375,0.49403126537799835,0
T2,ideal,MPC,7051.806846769097,5.854653596050209,7045.952193173047,6983.739188203125,0.8908265800505744,210.76752945780754,160.04830447491258,0
T2,ideal,lookup,6970.9672353263895,4.687500476837158,6966.279734849552,6983.739188203125,-0.2500015089776708,168.7500171661377,0.17430038005113602,0
T2,causal,MPC,6951.706442506945,6.982360849777858,6944.724081657167,6983.739188203125,-0.5586564087596835,251.36499059200287,161.11067862156779,0
T2,causal,lookup,6919.290029274306,4.687500397364299,6914.6025288769415,6983.739188203125,-0.9899662267309317,168.75001430511475,0.4891908401623368,0
