forecast_level,family,MPC_net_kwh,lookup_net_kwh,noyaw_kwh,MPC_minus_noyaw_kwh,MPC_minus_lookup_kwh,MPC_gain_over_no_yaw_percent,MPC_gain_over_lookup_percent,root_count
ideal,T1,5504.142052690951,5552.944543497692,5418.467126974826,85.67492571612456,-48.802490806741844,1.5811653685155358,-0.8788578820562498,1
ideal,T2,7045.952193173047,6966.279734849552,6983.739188203125,62.21300496992171,79.67245832349454,0.8908265800505744,1.1436873245977308,1
ideal,pooled,12550.094245863998,12519.224278347245,12402.206315177951,147.88793068604718,30.869967516753604,1.192432434421442,0.24658051353985133,1
causal,T1,5394.0376129288825,5552.942823039062,5418.467126974826,-24.429514045943506,-158.90521011017972,-0.4508565517418295,-2.861639587767495,1
causal,T2,6944.724081657167,6914.6025288769415,6983.739188203125,-39.01510654595859,30.1215527802251,-0.5586564087596835,0.4356223319334829,1
causal,pooled,12338.76169458605,12467.545351916004,12402.206315177951,-63.444620591901185,-128.7836573299537,-0.5115591450390311,-1.0329511840128314,1
