family,arm,case,time_s,online_seconds,fallback
T1,MPC,dir_m5,0,162.210603620857,False
T1,MPC,dir_m5,200,161.5935945669189,False
T1,MPC,dir_m5,400,161.5253530209884,False
T1,MPC,dir_m5,600,161.48544650804251,False
T1,MPC,dir_m5,800,161.475878149271,False
T1,MPC,dir_m5,1000,161.55956796649843,False
T1,MPC,dir_m5,1200,161.63071389868855,False
T1,MPC,dir_m5,1400,161.5876837261021,False
T1,MPC,dir_m5,1600,161.54769124742597,False
T1,lookup,dir_m5,0,1.5187268797308207,False
T1,lookup,dir_m5,200,1.494765566661954,False
T1,lookup,dir_m5,400,1.4827202325686812,False
T1,lookup,dir_m5,600,1.4741740878671408,False
T1,lookup,dir_m5,800,1.4703660812228918,False
T1,lookup,dir_m5,1000,1.4693310959264636,False
T1,lookup,dir_m5,1200,1.4806274874135852,False
T1,lookup,dir_m5,1400,1.4722766317427158,False
T1,lookup,dir_m5,1600,1.4726622458547354,False
