root,family,E_vs_zero,E_vs_lookup
OC-73090801,T1,1.5826488546066164,-0.8800387285005207
OC-73090801,T2,0.8979473442789487,1.15261627858394
OC-73090802,T1,1.4573860069835964,0.24931172944133717
OC-73090802,T2,1.2096205571945795,1.2351999068994202
OC-73090803,T1,0.8791818156578035,-1.2491601370740235
OC-73090803,T2,0.8068495144059051,2.1843294970248284
OC-73090804,T1,1.2414091235043,-0.38790329893350073
OC-73090804,T2,1.0707766154238296,1.325670235359988
OC-73090805,T1,1.9821619627792941,1.377431320082123
OC-73090805,T2,0.7032893860454692,1.6795991302577695
OC-73090806,T1,1.0163167472802215,0.5623033101456398
OC-73090806,T2,0.7051670898092999,1.5617963152154246
